doi,analyte,des_system_key,full_score,rank_baseline,is_optimal
10.1002/ansa.70039,Imidacloprid,Menthol || Thymol || 01:02,0.9974718983501168,1.0,True
10.1002/ansa.70039,Imidacloprid,Choline chloride || Salicylic acid || 01:01,0.9797167974243255,3.0,False
10.1002/ansa.70039,Imidacloprid,Choline chloride || Urea || 02:01,0.7524504252532683,4.0,False
10.1002/ansa.70039,Imidacloprid,Choline chloride || Thymol || 02:01,0.9873050848694166,2.0,False
10.1002/jssc.201901000,"2,4-D",Choline chloride || n-butyric acid || 01:02,0.9229301342626374,1.0,True
10.1002/jssc.201901000,Dalapon,Choline chloride || n-butyric acid || 01:02,0.7420755103218143,1.0,True
10.1002/jssc.201901000,Fenoxaprop,Choline chloride || n-butyric acid || 01:02,0.9703710316330852,1.0,True
10.1002/jssc.201901000,Haloxyfop,Choline chloride || n-butyric acid || 01:02,0.8971993600395356,1.0,True
10.1002/jssc.201901000,MCPA,Choline chloride || n-butyric acid || 01:02,0.9310940327875669,1.0,True
10.1002/jssc.202200236,Ametryn,Menthol || Octanol || 01:01,0.5994211087013464,1.0,True
10.1002/jssc.202200236,Atrazine,Menthol || Octanol || 01:01,0.6833275293235946,1.0,True
10.1002/jssc.202200236,Cyanazine,Menthol || Octanol || 01:01,0.6970734626796101,1.0,True
10.1002/jssc.202200236,Propazine,Menthol || Octanol || 01:01,0.7481977275751749,1.0,True
10.1002/jssc.202200236,Simazine,Menthol || Octanol || 01:01,0.6104464875154406,1.0,True
10.1002/sscp.202200140,Ametoctradin,Choline chloride || Ethylene glycol || 01:02,0.8485711543727953,1.0,True
10.1002/sscp.202200140,Difenoconazol,Choline chloride || Ethylene glycol || 01:02,0.7858143088082593,1.0,True
10.1002/sscp.202200140,Penconazol,Choline chloride || Ethylene glycol || 01:02,0.7583367821842707,1.0,True
10.1002/sscp.202200140,Propiconazole,Choline chloride || Ethylene glycol || 01:02,0.8630268365589335,1.0,True
10.1002/sscp.202200140,Tebuconazole,Choline chloride || Ethylene glycol || 01:02,0.8458404631163422,1.0,True
10.1016/j.chemosphere.2020.127590,Acid blue 29,Tetrabutylammonium bromide || Decanoic acid || 01:03,0.9977406314139593,1.0,True
10.1016/j.chemosphere.2020.127590,Chlorpyrifos,Tetrabutylammonium bromide || Decanoic acid || 01:03,0.9903404509163606,1.0,True
10.1016/j.chemosphere.2020.127590,Diazinon,Tetrabutylammonium bromide || Decanoic acid || 01:03,0.8835823186199308,1.0,True
10.1016/j.chemosphere.2020.127590,Fenitrothion,Tetrabutylammonium bromide || Decanoic acid || 01:03,0.8415384188663225,1.0,True
10.1016/j.chemosphere.2020.127590,Malachite green,Tetrabutylammonium bromide || Decanoic acid || 01:03,0.7972769285020879,1.0,True
10.1016/j.chroma.2022.462922,Buprofezin,Betaine || Propylene glycol || 01:04,0.9969735015964293,1.0,True
10.1016/j.chroma.2022.462922,Chlorpyrifos,Betaine || Propylene glycol || 01:04,0.9857456248258745,1.0,True
10.1016/j.chroma.2022.462922,Chlorpyrifos-methyl,Betaine || Propylene glycol || 01:04,0.9826590381804948,1.0,True
10.1016/j.chroma.2022.462922,Cyhalothrin,Betaine || Propylene glycol || 01:04,0.9995141065757719,1.0,True
10.1016/j.chroma.2022.462922,Endosulfan sulfate,Betaine || Propylene glycol || 01:04,0.9952762509722161,1.0,True
10.1016/j.chroma.2022.462922,Fenthion,Betaine || Propylene glycol || 01:04,0.983238518775176,1.0,True
10.1016/j.chroma.2022.462922,Malathion,Betaine || Propylene glycol || 01:04,0.9673142464293517,1.0,True
10.1016/j.chroma.2022.462922,Pyriproxyfen,Betaine || Propylene glycol || 01:04,0.9993838955430898,1.0,True
10.1016/j.chroma.2022.462922,Terbuthylazine,Betaine || Propylene glycol || 01:04,0.9953122611383902,1.0,True
10.1016/j.chroma.2022.462922,Trifloxystrobin,Betaine || Propylene glycol || 01:04,0.9964821019153702,1.0,True
10.1016/j.chroma.2025.466262,Beta-cypermethrin,Coumarin || Thymol || 01:02,0.9999922539577043,1.0,True
10.1016/j.chroma.2025.466262,Bifenthrin,Coumarin || Thymol || 01:02,0.9999946019185787,1.0,True
10.1016/j.chroma.2025.466262,Bioresmethrin,Coumarin || Thymol || 01:02,0.9999965725439313,1.0,True
10.1016/j.chroma.2025.466262,Cis-permethrin,Coumarin || Thymol || 01:02,0.9999962773280254,1.0,True
10.1016/j.chroma.2025.466262,Cyfluthrin,Coumarin || Thymol || 01:02,0.9999915588403655,1.0,True
10.1016/j.chroma.2025.466262,Cypermethrin,Coumarin || Thymol || 01:02,0.9999922539577043,1.0,True
10.1016/j.chroma.2025.466262,Deltamethrin,Coumarin || Thymol || 01:02,0.999990943847302,1.0,True
10.1016/j.chroma.2025.466262,Esfenvalerate,Coumarin || Thymol || 01:02,0.999993433951573,1.0,True
10.1016/j.chroma.2025.466262,Etofenprox,Coumarin || Thymol || 01:02,0.9999968265415373,1.0,True
10.1016/j.chroma.2025.466262,Fenpropathrin,Coumarin || Thymol || 01:02,0.9999913214367381,1.0,True
10.1016/j.chroma.2025.466262,Fenvalerate,Coumarin || Thymol || 01:02,0.999993433951573,1.0,True
10.1016/j.chroma.2025.466262,Flucythrinate,Coumarin || Thymol || 01:02,0.9999937415542842,1.0,True
10.1016/j.chroma.2025.466262,Fluvalinate,Coumarin || Thymol || 01:02,0.9999929489326792,1.0,True
10.1016/j.chroma.2025.466262,Lambda-cyhalothrin,Coumarin || Thymol || 01:02,0.999990392680626,1.0,True
10.1016/j.chroma.2025.466262,Tefluthrin,Coumarin || Thymol || 01:02,0.9999737792700922,1.0,True
10.1016/j.chroma.2025.466262,Trans-permethrin,Coumarin || Thymol || 01:02,0.9999962773280254,1.0,True
10.1016/j.fluid.2017.04.002,Acetamiprid,DL-Menthol || Octanoic acid || 01:01,0.30032397045910475,2.0,False
10.1016/j.fluid.2017.04.002,Acetamiprid,DL-Menthol || Dodecanoic acid || 02:01,0.33172109499041463,1.0,True
10.1016/j.fluid.2017.04.002,Imidacloprid,DL-Menthol || Octanoic acid || 01:01,0.8538352010902045,1.0,True
10.1016/j.fluid.2017.04.002,Imidacloprid,DL-Menthol || Decanoic acid || 01:01,0.833280471415497,2.0,False
10.1016/j.fluid.2017.04.002,Nitenpyram,DL-Menthol || Octanoic acid || 01:01,0.36076747470582,1.0,True
10.1016/j.fluid.2017.04.002,Thiamethoxam,DL-Menthol || Octanoic acid || 01:01,0.4613617086423122,1.0,True
10.1016/j.jfca.2017.12.007,Bromopropylate,Choline chloride || p-chlorophenol || 01:02,0.8653656913450175,1.0,True
10.1016/j.jfca.2017.12.007,Diazinon,Choline chloride || p-chlorophenol || 01:02,0.6973112432900469,1.0,True
10.1016/j.jfca.2017.12.007,Diazinon,Choline chloride || p-chlorophenol || 01:02,0.6973112432900469,2.0,False
10.1016/j.jfca.2017.12.007,Diazinon,Choline chloride || p-chlorophenol || 01:02,0.6973112432900469,3.0,False
10.1016/j.jfca.2017.12.007,Fenazaquin,Choline chloride || p-chlorophenol || 01:02,0.9896977432001722,1.0,True
10.1016/j.jfca.2017.12.007,Metalaxyl,Choline chloride || p-chlorophenol || 01:02,0.8068849514857032,1.0,True
10.1016/j.jfca.2017.12.007,Oxadiazon,Choline chloride || p-chlorophenol || 01:02,0.9052882968506835,1.0,True
10.1016/j.jfca.2025.108039,Aldrin,L-menthol || Octanoic acid || 01:01,0.974612228470434,1.0,True
10.1016/j.jfca.2025.108039,Bifenthrin,L-menthol || Octanoic acid || 01:01,0.9907014224805158,1.0,True
10.1016/j.jfca.2025.108039,Chloroneb,L-menthol || Octanoic acid || 01:01,0.5669062991981796,1.0,True
10.1016/j.jfca.2025.108039,Deltamethrin,L-menthol || Octanoic acid || 01:01,0.9814661795185925,1.0,True
10.1016/j.jfca.2025.108039,Dieldrin,L-menthol || Octanoic acid || 01:01,0.9910716598167145,1.0,True
10.1016/j.jfca.2025.108039,Heptachlor,L-menthol || Octanoic acid || 01:01,0.931346217409604,1.0,True
10.1016/j.jfca.2025.108039,Hexachlorobenzene,L-menthol || Octanoic acid || 01:01,0.7620798922072113,1.0,True
10.1016/j.jfca.2025.108039,Pentachlorobenzene,L-menthol || Octanoic acid || 01:01,0.7543328131794812,1.0,True
10.1016/j.jfca.2025.108039,Tefluthrin,L-menthol || Octanoic acid || 01:01,0.962297718345333,1.0,True
10.1016/j.jfca.2025.108039,alpha-BHC,L-menthol || Octanoic acid || 01:01,0.269425591863569,1.0,True
10.1016/j.jfca.2025.108039,"p,p'-DDT",L-menthol || Octanoic acid || 01:01,0.9557749905420314,1.0,True
10.1016/j.jpba.2019.01.018,Diniconazole,Choline chloride || Phenol || 01:04,0.4845413162384712,1.0,True
10.1016/j.jpba.2019.01.018,Fipronil,Choline chloride || Phenol || 01:04,0.4756041844847219,1.0,True
10.1016/j.jpba.2019.01.018,Hexaconazole,Choline chloride || Phenol || 01:04,0.6073943890319846,1.0,True
10.1016/j.jpba.2019.01.018,Tebuconazole,Choline chloride || Phenol || 01:04,0.5697392986518443,1.0,True
10.1016/j.jpba.2019.01.018,Triadimenol,Choline chloride || Phenol || 01:04,0.4950612020915011,1.0,True
10.1016/j.microc.2022.107226,Alachlor,Thymol || Myristyl alcohol || 02:01,0.9476212780128721,1.0,True
10.1016/j.microc.2022.107226,Aldrin,Thymol || Myristyl alcohol || 02:01,0.9968497030887513,1.0,True
10.1016/j.microc.2022.107226,Bromophos methyl,Thymol || Myristyl alcohol || 02:01,0.913789627148211,1.0,True
10.1016/j.microc.2022.107226,Bromopropylate,Thymol || Myristyl alcohol || 02:01,0.9056076775595386,1.0,True
10.1016/j.microc.2022.107226,Diazinon,Thymol || Myristyl alcohol || 02:01,0.7673091501571503,1.0,True
10.1016/j.microc.2022.107226,Dieldrin,Thymol || Myristyl alcohol || 02:01,0.9938507862102917,1.0,True
10.1016/j.microc.2022.107226,Endosulfan sulfate,Thymol || Myristyl alcohol || 02:01,0.6887008647572477,1.0,True
10.1016/j.microc.2022.107226,Endrin,Thymol || Myristyl alcohol || 02:01,0.9938507862102917,1.0,True
10.1016/j.microc.2022.107226,Fenpropathrin,Thymol || Myristyl alcohol || 02:01,0.9968341789455697,1.0,True
10.1016/j.microc.2022.107226,Fenvalerate,Thymol || Myristyl alcohol || 02:01,0.9976763110195045,1.0,True
10.1016/j.microc.2022.107226,Heptachlor epoxide,Thymol || Myristyl alcohol || 02:01,0.9830231324165123,1.0,True
10.1016/j.microc.2022.107226,Hexaconazole,Thymol || Myristyl alcohol || 02:01,0.9567093578623037,1.0,True
10.1016/j.microc.2022.107226,Lindane,Thymol || Myristyl alcohol || 02:01,0.7324728533919116,1.0,True
10.1016/j.microc.2022.107226,Tetradifon,Thymol || Myristyl alcohol || 02:01,0.9927493009186236,1.0,True
10.1016/j.microc.2022.107226,alpha-Endosulfan,Thymol || Myristyl alcohol || 02:01,0.8981022701358942,1.0,True
10.1016/j.microc.2022.107226,beta-Endosulfan,Thymol || Myristyl alcohol || 02:01,0.8981022701358942,1.0,True
10.1016/j.microc.2024.109955,Bromopropylate,Betaine || Propylene glycol || 01:04,0.9967301411719018,1.0,True
10.1016/j.microc.2024.109955,Buprofezin,Betaine || Propylene glycol || 01:04,0.9969735015964293,1.0,True
10.1016/j.microc.2024.109955,Cadusafos,Betaine || Propylene glycol || 01:04,0.9819802282151638,1.0,True
10.1016/j.microc.2024.109955,Chlorpyrifos,Betaine || Propylene glycol || 01:04,0.9857456248258745,1.0,True
10.1016/j.microc.2024.109955,Chlorpyrifos-methyl,Betaine || Propylene glycol || 01:04,0.9826590381804948,1.0,True
10.1016/j.microc.2024.109955,Diazinon,Betaine || Propylene glycol || 01:04,0.9945746869848454,1.0,True
10.1016/j.microc.2024.109955,Fenpropathrin,Betaine || Propylene glycol || 01:04,0.9996866018877044,1.0,True
10.1016/j.microc.2024.109955,Fonofos,Betaine || Propylene glycol || 01:04,0.9626882172756311,1.0,True
10.1016/j.microc.2024.109955,Oxadiazon,Betaine || Propylene glycol || 01:04,0.9984373250222592,1.0,True
10.1016/j.microc.2024.109955,Pendimethalin,Betaine || Propylene glycol || 01:04,0.9993590577945863,1.0,True
10.1016/j.microc.2024.109955,Pirimiphos-ethyl,Betaine || Propylene glycol || 01:04,0.9943151793789686,1.0,True
10.1016/j.microc.2024.109955,Pirimiphos-methyl,Betaine || Propylene glycol || 01:04,0.9930711673695829,1.0,True
10.1016/j.microc.2024.109955,Pyridaben,Betaine || Propylene glycol || 01:04,0.9961802635572973,1.0,True
10.1016/j.microc.2024.109955,Tebufenpyrad,Betaine || Propylene glycol || 01:04,0.9991331886913235,1.0,True
10.1016/j.microc.2024.109955,Tolclofos-methyl,Betaine || Propylene glycol || 01:04,0.9846095758433085,1.0,True
10.1016/j.microc.2025.113881,Aldrin,Choline chloride || p-chlorophenol || 01:02,0.9913708790630055,1.0,True
10.1016/j.microc.2025.113881,DDE,Choline chloride || p-chlorophenol || 01:02,0.970242435473573,1.0,True
10.1016/j.microc.2025.113881,DDT,Choline chloride || p-chlorophenol || 01:02,0.9666591304662311,1.0,True
10.1016/j.microc.2025.113881,Dieldrin,Choline chloride || p-chlorophenol || 01:02,0.9972123170247805,1.0,True
10.1016/j.microc.2025.113881,Endosulfan,Choline chloride || p-chlorophenol || 01:02,0.9587727990860888,1.0,True
10.1016/j.seppur.2024.128637,Atrazine,Choline chloride || Methacrylic acid || 01:02,0.954952558688318,1.0,True
10.1016/j.seppur.2024.128637,Atrazine,Choline chloride || Methacrylic acid || 01:01,0.9284200300787887,4.0,False
10.1016/j.seppur.2024.128637,Atrazine,Choline chloride || Methacrylic acid || 01:01.5,0.9491576273666941,3.0,False
10.1016/j.seppur.2024.128637,Atrazine,Choline chloride || Methacrylic acid || 01:03,0.9521854005609138,2.0,False
10.1016/j.talanta.2023.124831,Parathion,Choline chloride || Propylene glycol || 01:03,0.5065306075513265,10.0,True
10.1016/j.talanta.2023.124831,Parathion,Choline chloride || Ethylene glycol || 01:03,0.33670376529563895,15.0,False
10.1016/j.talanta.2023.124831,Parathion,Choline chloride || Butylene glycol || 01:03,0.6030023396245775,7.0,False
10.1016/j.talanta.2023.124831,Parathion,Choline chloride || Propylene glycol || 01:01,0.37034429805988606,13.0,False
10.1016/j.talanta.2023.124831,Parathion,Choline chloride || Propylene glycol || 01:02,0.511350343932285,9.0,False
10.1016/j.talanta.2023.124831,Parathion,Choline chloride || Propylene glycol || 01:04,0.4508351712773551,11.0,False
10.1016/j.talanta.2023.124831,Parathion,Choline chloride || Propylene glycol || 01:05,0.3738650597692085,12.0,False
10.1016/j.talanta.2023.124831,Parathion,Choline chloride || Propylene glycol || 01:06,0.2919563112289696,16.0,False
10.1016/j.talanta.2023.124831,Parathion,Choline chloride || Propylene glycol || 02:01,0.19291170484593564,17.0,False
10.1016/j.talanta.2023.124831,Parathion,Tetrabutylammonium bromide || Undecanol || 01:01,0.3684095896264954,14.0,False
10.1016/j.talanta.2023.124831,Parathion,Tetrabutylammonium bromide || Menthol || 01:01,0.6010648454437175,8.0,False
10.1016/j.talanta.2023.124831,Parathion,Tetrabutylammonium bromide || Terpineol || 01:01,0.6121583762211661,6.0,True
10.1016/j.talanta.2023.124831,Parathion,Tetrabutylammonium bromide || Citronellol || 01:01,0.6129859249360134,5.0,False
10.1016/j.talanta.2023.124831,Parathion,Tetrabutylammonium bromide || Geraniol || 01:01,0.7026342600295704,3.0,False
10.1016/j.talanta.2023.124831,Parathion,Tetrabutylammonium bromide || Linalool || 01:01,0.7022736522414906,4.0,False
10.1016/j.talanta.2023.124831,Parathion,Tetrabutylammonium bromide || Terpineol || 05:01,0.000143777881359013,21.0,False
10.1016/j.talanta.2023.124831,Parathion,Tetrabutylammonium bromide || Terpineol || 04:01,0.0009824529284520394,20.0,False
10.1016/j.talanta.2023.124831,Parathion,Tetrabutylammonium bromide || Terpineol || 03:01,0.0073424715900027825,19.0,False
10.1016/j.talanta.2023.124831,Parathion,Tetrabutylammonium bromide || Terpineol || 02:01,0.07307663208092903,18.0,False
10.1016/j.talanta.2023.124831,Parathion,Tetrabutylammonium bromide || Terpineol || 01:02,0.858786024162283,2.0,False
10.1016/j.talanta.2023.124831,Parathion,Tetrabutylammonium bromide || Terpineol || 01:03,0.8868512093622754,1.0,False
10.1021/acssuschemeng.4c03110,Difenoconazole,Terpineol || Decanoic acid || 01:01,0.9916308027968076,1.0,True
10.1021/acssuschemeng.4c03110,Hexaconazole,Terpineol || Decanoic acid || 01:01,0.8757017310431631,1.0,True
10.1021/acssuschemeng.4c03110,Myclobutanil,Terpineol || Decanoic acid || 01:01,0.9254473395429407,1.0,True
10.1021/acssuschemeng.4c03110,Propiconazole,Terpineol || Decanoic acid || 01:01,0.9201700472815552,1.0,True
10.1021/acssuschemeng.4c03110,Tebuconazole,Terpineol || Decanoic acid || 01:01,0.8358433433869233,1.0,True
10.1021/acssuschemeng.4c03110,Triadimefon,Terpineol || Lauric acid || 01:01,0.8238042219254679,4.0,True
10.1021/acssuschemeng.4c03110,Triadimefon,Menthol || Lauric acid || 01:01,0.8264883100806378,3.0,False
10.1021/acssuschemeng.4c03110,Triadimefon,Terpineol || Decanoic acid || 01:01,0.8130223113868026,5.0,False
10.1021/acssuschemeng.4c03110,Triadimefon,Menthol || Decanoic acid || 01:01,0.8122735588071616,6.0,False
10.1021/acssuschemeng.4c03110,Triadimefon,Octanol || Decanoic acid || 01:01,0.9591992130381799,1.0,False
10.1021/acssuschemeng.4c03110,Triadimefon,Decyl alcohol || Decanoic acid || 01:01,0.939878926001903,2.0,False
10.1021/acssuschemeng.4c03110,Triadimefon,Terpineol || Decanoic acid || 02:01,0.7470199134485701,7.0,False
10.1021/acssuschemeng.4c03110,Triadimefon,Terpineol || Decanoic acid || 03:01,0.6810833875780996,8.0,False
10.1080/03601234.2025.2605875,Chlorpyrifos,Menthol || Lauryl alcohol || 01:01,0.9047585377376098,1.0,True
10.1080/03601234.2025.2605875,Triazophos,Menthol || Lauryl alcohol || 01:01,0.7470750708747004,1.0,True
10.3390/biology13060438,Tea Saponin,Betaine || Ethylene Glycol || 01:03,1.0,1.0,True
10.3390/biology13060438,Tea Saponin,Betaine || Ethylene Glycol || 01:02,1.0,2.0,False
10.3390/biology13060438,Tea Saponin,Choline Chloride || Glycerol || 01:03,1.0,3.0,False
10.3390/biology13060438,Tea Saponin,Choline Chloride || Glycerol || 01:02,1.0,4.0,False
10.3390/biology13060438,Tea Saponin,Choline Chloride || Urea || 01:02,1.0,5.0,False
10.3390/biology13060438,Tea Saponin,Choline Chloride || Urea || 01:03,1.0,6.0,False
10.3390/biology13060438,Tea Saponin,Choline Chloride || Ethylene Glycol || 01:03,1.0,7.0,False
10.3390/biology13060438,Tea Saponin,Choline Chloride || Ethylene Glycol || 01:02,1.0,8.0,False
10.3390/biology13060438,Tea Saponin,Betaine || Glycerol || 01:03,1.0,9.0,False
10.3390/biology13060438,Tea Saponin,Betaine || Glycerol || 01:02,1.0,10.0,False
